Namespace(activ='relu', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=10, conv_mode='classic', cutout=8, dataset=['cifar10'], epochs=200, filters=64, gamma=0.5, history=1, iter=14, learning_rate=0.1, min_lr=0.0001, model='res_thrifty', momentum=0.9, n_params=None, name='vanillaC10', nesterov=True, optimizer='sgd', out_mode='pool', patience=8, pool=[3], resume=None, seed=437546, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39334
Filters : 64
*******
epoch : 136, time : 0.7809976696968078, train_loss : 211.58714294433594, train_acc(top1) : 42591.0, test_loss : 0.412270035892725, test_acc(top1) : 85.95999908447266, 
epoch : 137, time : 0.7606210033098857, train_loss : 211.82168579101562, train_acc(top1) : 42580.0, test_loss : 0.41342275723814964, test_acc(top1) : 85.76000213623047, 
epoch : 138, time : 0.7838433106740316, train_loss : 210.2649383544922, train_acc(top1) : 42609.0, test_loss : 0.41182165503501894, test_acc(top1) : 85.87000274658203, 
epoch : 139, time : 0.7675432682037353, train_loss : 211.3080291748047, train_acc(top1) : 42666.0, test_loss : 0.4129997816681862, test_acc(top1) : 86.01000213623047, 
epoch : 140, time : 0.7645570079485575, train_loss : 210.4461669921875, train_acc(top1) : 42617.0, test_loss : 0.4126384589076042, test_acc(top1) : 85.72000122070312, 
epoch : 141, time : 0.7606266379356384, train_loss : 211.6796112060547, train_acc(top1) : 42626.0, test_loss : 0.4084737983345985, test_acc(top1) : 85.80000305175781, 
epoch : 142, time : 0.7615640958150228, train_loss : 210.006103515625, train_acc(top1) : 42560.0, test_loss : 0.411687076240778, test_acc(top1) : 85.94999694824219, 
epoch : 143, time : 0.8486122806866964, train_loss : 211.2236328125, train_acc(top1) : 42667.0, test_loss : 0.41214867621660234, test_acc(top1) : 85.98999786376953, 
epoch : 144, time : 0.7875273982683818, train_loss : 210.5935516357422, train_acc(top1) : 42708.0, test_loss : 0.4111826120316982, test_acc(top1) : 85.87000274658203, 
epoch : 145, time : 0.7661538998285929, train_loss : 211.365478515625, train_acc(top1) : 42559.0, test_loss : 0.412329868376255, test_acc(top1) : 85.94999694824219, 
epoch : 146, time : 0.7630474964777628, train_loss : 211.49136352539062, train_acc(top1) : 42603.0, test_loss : 0.43101521000266074, test_acc(top1) : 85.62000274658203, 
epoch : 147, time : 0.7573364933331808, train_loss : 210.78274536132812, train_acc(top1) : 42660.0, test_loss : 0.4129672971367836, test_acc(top1) : 85.80999755859375, 
epoch : 148, time : 0.7611768285433451, train_loss : 211.57545471191406, train_acc(top1) : 42700.0, test_loss : 0.4076555232703686, test_acc(top1) : 85.80000305175781, 
epoch : 149, time : 0.768922754128774, train_loss : 211.06781005859375, train_acc(top1) : 42646.0, test_loss : 0.4126038646697998, test_acc(top1) : 85.68000030517578, 
epoch : 150, time : 0.7681173324584961, train_loss : 209.63668823242188, train_acc(top1) : 42703.0, test_loss : 0.41221115112304685, test_acc(top1) : 85.94999694824219, 
epoch : 151, time : 0.7664175629615784, train_loss : 211.3427276611328, train_acc(top1) : 42584.0, test_loss : 0.4209564545750618, test_acc(top1) : 85.76000213623047, 
epoch : 152, time : 0.7643141428629557, train_loss : 211.3902587890625, train_acc(top1) : 42621.0, test_loss : 0.41207398936152456, test_acc(top1) : 85.69000244140625, 
epoch : 153, time : 0.7601356466611227, train_loss : 211.12490844726562, train_acc(top1) : 42666.0, test_loss : 0.41336450949311254, test_acc(top1) : 85.94000244140625, 
epoch : 154, time : 0.7639379262924194, train_loss : 212.38429260253906, train_acc(top1) : 42587.0, test_loss : 0.4159171339869499, test_acc(top1) : 86.05000305175781, 
epoch : 155, time : 0.849528439839681, train_loss : 209.7761993408203, train_acc(top1) : 42631.0, test_loss : 0.40904699489474294, test_acc(top1) : 85.95999908447266, 
epoch : 156, time : 0.8307134707768759, train_loss : 210.9936981201172, train_acc(top1) : 42602.0, test_loss : 0.4079506368935108, test_acc(top1) : 86.0199966430664, 
epoch : 157, time : 0.8296317617098491, train_loss : 209.00721740722656, train_acc(top1) : 42755.0, test_loss : 0.4117411670088768, test_acc(top1) : 85.81999969482422, 
epoch : 158, time : 0.8309796810150146, train_loss : 211.08139038085938, train_acc(top1) : 42638.0, test_loss : 0.4098116007447243, test_acc(top1) : 85.80999755859375, 
epoch : 159, time : 0.7805112799008688, train_loss : 210.9281463623047, train_acc(top1) : 42659.0, test_loss : 0.40845624685287474, test_acc(top1) : 85.94000244140625, 
epoch : 160, time : 0.766239329179128, train_loss : 210.63682556152344, train_acc(top1) : 42592.0, test_loss : 0.4061584110558033, test_acc(top1) : 85.87000274658203, 
epoch : 161, time : 0.7586915651957195, train_loss : 210.46490478515625, train_acc(top1) : 42524.0, test_loss : 0.411104291677475, test_acc(top1) : 85.98999786376953, 
