Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool1_40K', nesterov=True, optimizer='sgd', patience=7, pool=[15], resume=None, seed=608454, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Epoch : 117, lr : 0.0001953125, epoch_time : 7.9162346164385475, train_loss : 0.061231378465890884, train_acc(top1) : 88.23999786376953, test_loss : 0.4505995595932007, 
Epoch : 118, lr : 0.0001, epoch_time : 7.916053450107574, train_loss : 0.10511544346809387, train_acc(top1) : 88.22000122070312, test_loss : 0.45139627656936643, 
Epoch : 119, lr : 0.0001, epoch_time : 7.91771449247996, train_loss : 0.11105160415172577, train_acc(top1) : 88.23999786376953, test_loss : 0.4477308546066284, 
Epoch : 120, lr : 0.0001, epoch_time : 7.917489171028137, train_loss : 0.09179674088954926, train_acc(top1) : 88.08999633789062, test_loss : 0.44915101871490476, 
Epoch : 121, lr : 0.0001, epoch_time : 7.917715851465861, train_loss : 0.09441342949867249, train_acc(top1) : 88.29000091552734, test_loss : 0.4513993455886841, 
Epoch : 122, lr : 0.0001, epoch_time : 7.9165003657341, train_loss : 0.08663007616996765, train_acc(top1) : 88.25, test_loss : 0.4467040083885193, 
Epoch : 123, lr : 0.0001, epoch_time : 7.916869886716207, train_loss : 0.06130598857998848, train_acc(top1) : 88.31999969482422, test_loss : 0.4432916742324829, 
Epoch : 124, lr : 0.0001, epoch_time : 7.917571938037872, train_loss : 0.0659857913851738, train_acc(top1) : 88.27999877929688, test_loss : 0.45134326133728025, 
Epoch : 125, lr : 0.0001, epoch_time : 7.916363223393758, train_loss : 0.04795699194073677, train_acc(top1) : 88.2300033569336, test_loss : 0.4581471780776978, 
Epoch : 126, lr : 0.0001, epoch_time : 7.917921944459279, train_loss : 0.1272074282169342, train_acc(top1) : 88.16999816894531, test_loss : 0.44989699726104737, 
Epoch : 127, lr : 0.0001, epoch_time : 7.917027123769125, train_loss : 0.08406439423561096, train_acc(top1) : 88.1500015258789, test_loss : 0.4503873732566834, 
Epoch : 128, lr : 0.0001, epoch_time : 7.916703184445699, train_loss : 0.04184643179178238, train_acc(top1) : 88.1500015258789, test_loss : 0.4559097743988037, 
Epoch : 129, lr : 0.0001, epoch_time : 7.917611686388652, train_loss : 0.05949704349040985, train_acc(top1) : 88.1500015258789, test_loss : 0.45394308376312253, 
Epoch : 130, lr : 0.0001, epoch_time : 7.917619856198629, train_loss : 0.030925054103136063, train_acc(top1) : 88.16999816894531, test_loss : 0.45045420989990237, 
Epoch : 131, lr : 0.0001, epoch_time : 7.917653020222982, train_loss : 0.04571967199444771, train_acc(top1) : 88.26000213623047, test_loss : 0.44999313526153567, 
Epoch : 132, lr : 0.0001, epoch_time : 7.917836729685465, train_loss : 0.10630667954683304, train_acc(top1) : 88.36000061035156, test_loss : 0.45215682764053344, 
Epoch : 133, lr : 0.0001, epoch_time : 7.917931163311005, train_loss : 0.07516156136989594, train_acc(top1) : 88.19999694824219, test_loss : 0.45147824249267576, 
Epoch : 134, lr : 0.0001, epoch_time : 7.9163736462593075, train_loss : 0.0957309752702713, train_acc(top1) : 88.23999786376953, test_loss : 0.4503540452957153, 
Epoch : 135, lr : 0.0001, epoch_time : 7.916618259747823, train_loss : 0.11475004255771637, train_acc(top1) : 88.13999938964844, test_loss : 0.45263008546829225, 
Epoch : 136, lr : 0.0001, epoch_time : 7.9167568723360695, train_loss : 0.04104437306523323, train_acc(top1) : 88.12000274658203, test_loss : 0.4551025944709778, 
Epoch : 137, lr : 0.0001, epoch_time : 7.917498795191447, train_loss : 0.05622721090912819, train_acc(top1) : 88.22000122070312, test_loss : 0.4547730697631836, 
Epoch : 138, lr : 0.0001, epoch_time : 7.918045091629028, train_loss : 0.1358366161584854, train_acc(top1) : 88.12999725341797, test_loss : 0.4599002830505371, 
Epoch : 139, lr : 0.0001, epoch_time : 7.917498441537221, train_loss : 0.07754652947187424, train_acc(top1) : 88.12000274658203, test_loss : 0.45251407566070556, 
Epoch : 140, lr : 0.0001, epoch_time : 7.916786309083303, train_loss : 0.05661119893193245, train_acc(top1) : 88.1500015258789, test_loss : 0.45370217723846434, 
Epoch : 141, lr : 0.0001, epoch_time : 7.917411434650421, train_loss : 0.04533515125513077, train_acc(top1) : 88.22000122070312, test_loss : 0.45261630649566653, 
Epoch : 142, lr : 0.0001, epoch_time : 7.917554052670797, train_loss : 0.07174967974424362, train_acc(top1) : 88.1500015258789, test_loss : 0.459669448184967, 
Epoch : 143, lr : 0.0001, epoch_time : 7.917685969670614, train_loss : 0.08496686816215515, train_acc(top1) : 88.22000122070312, test_loss : 0.46304323558807375, 
Epoch : 144, lr : 0.0001, epoch_time : 7.917652865250905, train_loss : 0.07359465956687927, train_acc(top1) : 88.23999786376953, test_loss : 0.45963947486877443, 
