Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=208, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=60000, name='pool1_60K', nesterov=True, optimizer='sgd', out_mode='pool', patience=7, pool=[15], resume=None, seed=980154, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 59886
Filters : 208
*******
Epoch : 50, lr : 0.05, epoch_time : 4.862120648225148, train_loss : 0.4599364101886749, train_acc(top1) : 86.24600219726562, test_loss : 1.0786244354248047, test_acc(top1) : 69.08999633789062, 
Epoch : 51, lr : 0.05, epoch_time : 4.840292847156524, train_loss : 0.5443624258041382, train_acc(top1) : 86.20800018310547, test_loss : 0.6353291122436523, test_acc(top1) : 79.95999908447266, 
Epoch : 52, lr : 0.05, epoch_time : 4.855383062362671, train_loss : 0.5353659987449646, train_acc(top1) : 86.4020004272461, test_loss : 0.6224343891143799, test_acc(top1) : 78.5, 
Epoch : 53, lr : 0.05, epoch_time : 4.864953327178955, train_loss : 0.2831151485443115, train_acc(top1) : 86.4540023803711, test_loss : 0.5241326076507569, test_acc(top1) : 82.43000030517578, 
Epoch : 54, lr : 0.025, epoch_time : 4.838023201624552, train_loss : 0.28582969307899475, train_acc(top1) : 89.89199829101562, test_loss : 0.3918469575881958, test_acc(top1) : 86.88999938964844, 
Epoch : 55, lr : 0.025, epoch_time : 4.853658056259155, train_loss : 0.29389235377311707, train_acc(top1) : 90.28199768066406, test_loss : 0.37716592102050783, test_acc(top1) : 87.25, 
Epoch : 56, lr : 0.025, epoch_time : 4.871640666325887, train_loss : 0.1906844675540924, train_acc(top1) : 90.31400299072266, test_loss : 0.3873642949104309, test_acc(top1) : 87.30000305175781, 
Epoch : 57, lr : 0.025, epoch_time : 4.861056939760844, train_loss : 0.2829277813434601, train_acc(top1) : 90.19999694824219, test_loss : 0.4589594797134399, test_acc(top1) : 85.58000183105469, 
Epoch : 58, lr : 0.025, epoch_time : 4.86178637345632, train_loss : 0.17683351039886475, train_acc(top1) : 90.23799896240234, test_loss : 0.4149492771148682, test_acc(top1) : 86.0, 
Epoch : 59, lr : 0.025, epoch_time : 4.870708195368449, train_loss : 0.3727653920650482, train_acc(top1) : 90.43800354003906, test_loss : 0.3846943919181824, test_acc(top1) : 87.13999938964844, 
Epoch : 60, lr : 0.025, epoch_time : 4.870591119925181, train_loss : 0.19773919880390167, train_acc(top1) : 90.48799896240234, test_loss : 0.4471176794052124, test_acc(top1) : 85.5, 
Epoch : 61, lr : 0.025, epoch_time : 4.8670188625653585, train_loss : 0.15682220458984375, train_acc(top1) : 90.5479965209961, test_loss : 0.46583931484222413, test_acc(top1) : 85.43000030517578, 
Epoch : 62, lr : 0.025, epoch_time : 4.874727515379588, train_loss : 0.32183578610420227, train_acc(top1) : 90.38400268554688, test_loss : 0.7211604633331299, test_acc(top1) : 78.19999694824219, 
Epoch : 63, lr : 0.025, epoch_time : 4.873074928919475, train_loss : 0.21967262029647827, train_acc(top1) : 90.50399780273438, test_loss : 0.4058917974472046, test_acc(top1) : 86.51000213623047, 
Epoch : 64, lr : 0.0125, epoch_time : 4.869613786538442, train_loss : 0.12834219634532928, train_acc(top1) : 92.79399871826172, test_loss : 0.33952132244110106, test_acc(top1) : 89.16999816894531, 
Epoch : 65, lr : 0.0125, epoch_time : 4.859479407469432, train_loss : 0.227650985121727, train_acc(top1) : 93.33000183105469, test_loss : 0.39478756828308104, test_acc(top1) : 88.41999816894531, 
Epoch : 66, lr : 0.0125, epoch_time : 4.869820121924082, train_loss : 0.28292471170425415, train_acc(top1) : 93.57599639892578, test_loss : 0.34288616800308225, test_acc(top1) : 89.26000213623047, 
Epoch : 67, lr : 0.0125, epoch_time : 4.880409940083822, train_loss : 0.3437443673610687, train_acc(top1) : 93.447998046875, test_loss : 0.36243051166534423, test_acc(top1) : 88.13999938964844, 
Epoch : 68, lr : 0.0125, epoch_time : 4.8588661829630535, train_loss : 0.35765427350997925, train_acc(top1) : 93.74199676513672, test_loss : 0.3716134881019592, test_acc(top1) : 88.44000244140625, 
Epoch : 69, lr : 0.0125, epoch_time : 4.865039054552714, train_loss : 0.24196311831474304, train_acc(top1) : 93.3759994506836, test_loss : 0.4226680383682251, test_acc(top1) : 86.91999816894531, 
Epoch : 70, lr : 0.0125, epoch_time : 4.880600293477376, train_loss : 0.189191535115242, train_acc(top1) : 93.43599700927734, test_loss : 0.34479907388687137, test_acc(top1) : 88.56999969482422, 
Epoch : 71, lr : 0.0125, epoch_time : 4.8743834614753725, train_loss : 0.2438402771949768, train_acc(top1) : 93.44000244140625, test_loss : 0.39994899044036863, test_acc(top1) : 87.23999786376953, 
Epoch : 72, lr : 0.0125, epoch_time : 4.89642771879832, train_loss : 0.17415814101696014, train_acc(top1) : 93.69599914550781, test_loss : 0.3751423709869385, test_acc(top1) : 88.51000213623047, 
Epoch : 73, lr : 0.00625, epoch_time : 4.866653736432394, train_loss : 0.04360778629779816, train_acc(top1) : 95.30799865722656, test_loss : 0.3327036540985107, test_acc(top1) : 89.88999938964844, 
Epoch : 74, lr : 0.00625, epoch_time : 4.884262017409006, train_loss : 0.12539595365524292, train_acc(top1) : 95.5999984741211, test_loss : 0.35439455347061155, test_acc(top1) : 89.61000061035156, 
Epoch : 75, lr : 0.00625, epoch_time : 4.890163624286652, train_loss : 0.17167358100414276, train_acc(top1) : 95.83599853515625, test_loss : 0.3753105325698853, test_acc(top1) : 89.06999969482422, 
Epoch : 76, lr : 0.00625, epoch_time : 4.951319591204325, train_loss : 0.07085808366537094, train_acc(top1) : 95.79399871826172, test_loss : 0.31008381633758547, test_acc(top1) : 90.16000366210938, 
Epoch : 77, lr : 0.00625, epoch_time : 4.966491329669952, train_loss : 0.15734022855758667, train_acc(top1) : 95.8479995727539, test_loss : 0.3445280144691467, test_acc(top1) : 89.83000183105469, 
Epoch : 78, lr : 0.00625, epoch_time : 4.952759528160096, train_loss : 0.1331762671470642, train_acc(top1) : 95.80799865722656, test_loss : 0.363457023525238, test_acc(top1) : 89.16000366210938, 
Epoch : 79, lr : 0.00625, epoch_time : 4.888895591100057, train_loss : 0.1846703588962555, train_acc(top1) : 95.74600219726562, test_loss : 0.34076834468841555, test_acc(top1) : 90.22000122070312, 
Epoch : 80, lr : 0.00625, epoch_time : 4.948250079154969, train_loss : 0.16247335076332092, train_acc(top1) : 95.82599639892578, test_loss : 0.3318284034729004, test_acc(top1) : 89.77999877929688, 
